id,product_id,type,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,machine_failure,twf,hdf,pwf,osf,rnf
0,L50096,L,300.6,309.6,1596,36.1,140,0,0,0,0.0,0.0,0.0
1,M20343,M,302.6,312.1,1759,29.1,200,0,0,0,0.0,0.0,0.0
2,L49454,L,299.3,308.5,1805,26.5,25,0,0,0,0.0,0.0,0.0
3,L53355,L,301.0,310.9,1524,44.3,197,0,0,0,0.0,0.0,0.0
4,M24050,M,298.0,309.0,1641,35.4,34,0,0,0,0.0,0.0,0.0
5,M24300,M,298.4,308.9,1429,42.1,65,0,0,0,0.0,0.0,0.0
6,L56736,L,299.6,311.0,1413,42.9,156,0,0,0,0.0,0.0,0.0
7,L55488,L,298.7,310.1,1609,38.1,67,0,0,0,0.0,0.0,0.0
8,L56397,L,297.7,308.8,1578,35.2,13,0,0,0,0.0,0.0,0.0
9,L55067,L,300.5,312.3,1447,53.3,98,0,0,0,0.0,0.0,0.0
10,L53273,L,301.0,310.8,1408,47.7,139,0,0,0,0.0,0.0,0.0
11,L52981,L,301.5,310.8,1432,43.6,166,0,0,0,0.0,0.0,0.0
12,M21422,M,301.4,310.7,1659,40.9,152,0,0,0,0.0,0.0,0.0
13,L56091,L,297.1,308.4,1470,43.8,204,0,0,0,0.0,0.0,0.0
14,L57008,L,298.5,309.4,1385,53.1,143,0,0,0,0.0,0.0,0.0
15,M15219,M,297.6,308.3,1567,34.6,38,0,0,0,0.0,0.0,0.0
16,L50318,L,300.4,309.9,1452,39.2,72,0,0,0,0.0,0.0,0.0
17,L50201,L,300.5,309.8,1421,49.6,5,0,0,0,0.0,0.0,0.0
18,L54856,L,300.5,311.7,1408,49.5,0,0,0,0,0.0,0.0,0.0
19,L52109,L,303.5,312.4,1408,44.6,76,0,0,0,0.0,0.0,0.0
20,L50643,L,301.5,310.4,1424,53.9,40,0,0,0,0.0,0.0,0.0
21,L49187,L,298.6,308.4,1555,40.3,27,0,0,0,0.0,0.0,0.0
22,L53257,L,300.9,310.7,1479,39.1,23,0,0,0,0.0,0.0,0.0
23,L53313,L,301.0,310.9,1470,40.9,190,0,0,0,0.0,0.0,0.0
24,L56269,L,297.2,307.9,1676,32.2,173,0,0,0,0.0,0.0,0.0
25,L55142,L,301.0,312.2,1427,47.7,162,0,0,0,0.0,0.0,0.0
26,H39350,H,298.3,308.2,1534,33.2,2,0,0,0,0.0,0.0,0.0
27,L56208,L,297.4,308.4,1462,43.8,0,0,0,0,0.0,0.0,0.0
28,L53040,L,301.3,311.0,1492,41.4,124,0,0,0,0.0,0.0,0.0
29,L50227,L,300.2,309.5,1445,38.3,51,0,0,0,0.0,0.0,0.0
30,M17675,M,300.1,309.3,1507,43.3,111,0,0,0,0.0,0.0,0.0
31,H35898,H,300.6,309.8,1423,22.5,129,0,0,0,0.0,0.0,0.0
32,L52106,L,303.5,312.3,1436,47.3,71,0,0,0,0.0,0.0,0.0
33,M24800,M,298.3,308.1,1560,35.7,89,0,0,0,0.0,0.0,0.0
34,L56576,L,297.8,308.3,1334,49.7,158,0,0,0,0.0,0.0,0.0
35,H35545,H,301.0,311.0,1473,46.3,118,0,0,0,0.0,0.0,0.0
36,L55218,L,300.7,311.9,1486,39.6,19,0,0,0,0.0,0.0,0.0
37,L55076,L,300.8,312.4,1618,28.3,119,0,0,0,0.0,0.0,0.0
38,L49056,L,298.3,308.0,1435,47.8,94,0,0,0,0.0,0.0,0.0
39,L53718,L,301.4,310.6,1487,44.6,83,0,0,0,0.0,0.0,0.0
40,L55605,L,299.2,310.6,1383,44.4,172,0,0,0,0.0,0.0,0.0
41,L56398,L,297.7,308.8,1526,37.4,103,0,0,0,0.0,0.0,0.0
42,M17591,M,299.7,309.1,1566,32.9,135,0,0,0,0.0,0.0,0.0
43,L52753,L,302.5,312.2,1469,39.9,14,0,0,0,0.0,0.0,0.0
44,L50736,L,301.8,310.9,1686,30.3,155,0,0,0,0.0,0.0,0.0
45,M15683,M,296.7,307.5,1465,48.5,161,0,0,0,0.0,0.0,0.0
46,M20419,M,302.4,312.0,1528,43.4,9,0,0,0,0.0,0.0,0.0
47,M23105,M,299.2,310.6,1538,38.8,119,0,0,0,0.0,0.0,0.0
